id,category,skill,image,description_id,description_en,description_jp,description_cn,description_sa
1,language,javascript,,,
2,language,typescript,,,
3,language,php,,,
4,language,go,,,
5,back end,express.js,,,
6,back end,gin,,,
7,back end,nestjs,,,
8,front end,reactjs,,,
9,front end,flutter,,,
10,text editor,visual studio code,,,
11,database,mysql,,,
12,database,postgresql,,,
13,web server,apache2,,,
14,web server,nginx,,,
15,framework,nodejs,,,
16,framework,laravel,,,
17,framework,next.js,,,
18,code linting,prettier,,,
19,code linting,eslint,,,
20,system operation,ubuntu,,,
21,build tool,vite,,,
22,build tool,webpack,,,
23,in-memory database,redis,,,
24,api documentation,postman,,,
25,api documentation,swagger,,,
26,api query languages,graphql,,,
27,api query languages,prisma,,,
